Header,HumanReadable
EMSGCSEYE_2.0,EMS GCS Eye: 2
EMSGCSEYE_3.0,EMS GCS Eye: 3
EMSGCSEYE_4.0,EMS GCS Eye: 4
EMSGCSEYE___MISSING__,EMS GCS Eye: Missing
EMSGCSEYE_BIU_1.0,EMS GCS Eye: N/A
EMSGCSEYE_BIU_2.0,EMS GCS Eye: Not Documented
EMSGCSEYE_BIU___MISSING__,EMS GCS Eye: Missing
EMSGCSMOTOR_1.0,EMS GCS Motor: 1
EMSGCSMOTOR_2.0,EMS GCS Motor: 2
EMSGCSMOTOR_3.0,EMS GCS Motor: 3
EMSGCSMOTOR_4.0,EMS GCS Motor: 4
EMSGCSMOTOR_5.0,EMS GCS Motor: 5
EMSGCSMOTOR_6.0,EMS GCS Motor: 6
EMSGCSMOTOR___MISSING__,EMS GCS Motor: Missing
EMSGCSMOTOR_BIU_1.0,EMS GCS Motor: N/A
EMSGCSMOTOR_BIU_2.0,EMS GCS Motor: Not Documented
EMSGCSMOTOR_BIU___MISSING__,EMS GCS Motor: Missing
EMSGCSVERBAL_1.0,EMS GCS Verbal: 1
EMSGCSVERBAL_2.0,EMS GCS Verbal: 2
EMSGCSVERBAL_3.0,EMS GCS Verbal: 3
EMSGCSVERBAL_4.0,EMS GCS Verbal: 4
EMSGCSVERBAL_5.0,EMS GCS Verbal: 5
EMSGCSVERBAL___MISSING__,EMS GCS Verbal: Missing
EMSGCSVERBAL_BIU_1.0,EMS GCS Verbal: N/A
EMSGCSVERBAL_BIU_2.0,EMS GCS Verbal: Not Documented
EMSGCSVERBAL_BIU___MISSING__,EMS GCS Verbal: Missing
EMSTOTALGCS_10.0,EMS Total GCS: 10
EMSTOTALGCS_11.0,EMS Total GCS: 11
EMSTOTALGCS_12.0,EMS Total GCS: 12
EMSTOTALGCS_13.0,EMS Total GCS: 13
EMSTOTALGCS_14.0,EMS Total GCS: 14
EMSTOTALGCS_15.0,EMS Total GCS: 15
EMSTOTALGCS_3.0,EMS Total GCS: 3
EMSTOTALGCS_4.0,EMS Total GCS: 4
EMSTOTALGCS_5.0,EMS Total GCS: 5
EMSTOTALGCS_6.0,EMS Total GCS: 6
EMSTOTALGCS_7.0,EMS Total GCS: 7
EMSTOTALGCS_8.0,EMS Total GCS: 8
EMSTOTALGCS_9.0,EMS Total GCS: 9
EMSTOTALGCS___MISSING__,EMS Total GCS: Missing
EMSTOTALGCS_BIU_1.0,EMS Total GCS: N/A
EMSTOTALGCS_BIU_2.0,EMS Total GCS: Not Documented
EMSTOTALGCS_BIU___MISSING__,EMS Total GCS: Missing
MECHANISM_Cut/Pierce,Mechanism: Cut/Pierce
MECHANISM_Drowning/Submersion,Mechanism: Drowning/Submersion
MECHANISM_Fall,Mechanism: Fall
MECHANISM_Fire/Flame,Mechanism: Fire/Flame
MECHANISM_Firearm,Mechanism: Firearm
MECHANISM_MVT Motorcyclist,Mechanism: Motor Vehicle Traffic - Motorcyclist
MECHANISM_MVT Occupant,Mechanism: Motor Vehicle Traffic - Occupant
MECHANISM_MVT Other,Mechanism: Motor Vehicle Traffic - Other
MECHANISM_MVT Pedal Cyclist,Mechanism: Motor Vehicle Traffic - Pedal Cyclist
MECHANISM_MVT Pedestrian,Mechanism: Motor Vehicle Traffic - Pedestrian
MECHANISM_MVT Unspecified,Mechanism: Motor Vehicle Traffic - Unspecified
MECHANISM_Machinery,Mechanism: Machinery
"MECHANISM_Natural/environmental, Bites and Stings",Mechanism: Natural/Environmental - Bites and Stings
"MECHANISM_Natural/environmental, Other",Mechanism: Natural/Environmental - Other
MECHANISM_Other Specified and Classifiable,Mechanism: Other Specified/Classifiable
MECHANISM_Overexertion,Mechanism: Overexertion
"MECHANISM_Pedal Cyclist, Other",Mechanism: Pedal Cyclist - Other
"MECHANISM_Pedestrian, Other",Mechanism: Pedestrian - Other
"MECHANISM_Struck By, Against",Mechanism: Struck By/Against
"MECHANISM_Transport, Other",Mechanism: Transport - Other
MECHANISM___UNMAPPED__,Mechanism: Unmapped
TRAUMATYPE_Blunt,Trauma Type: Blunt
TRAUMATYPE_Burn,Trauma Type: Burn
TRAUMATYPE_Penetrating,Trauma Type: Penetrating
TRAUMATYPE___UNMAPPED__,Trauma Type: Unmapped
INTERFACILITYTRANSFER,Interfacility Transfer
SBP,SBP
PULSERATE,Pulse Rate
TEMPERATURE,Temperature
RESPIRATORYRATE,Respiratory Rate
RESPIRATORYASSISTANCE,Respiratory Assistance
PULSEOXIMETRY,Pulse Oximetry
SUPPLEMENTALOXYGEN,Supplemental Oxygen
GCSEYE,GCS Eye
GCSVERBAL,GCS Verbal
GCSMOTOR,GCS Motor
TOTALGCS,Total GCS
GCSQ_SEDATEDPARALYZED,GCS Qualifier: Sedated/Paralyzed
GCSQ_EYEOBSTRUCTION,GCS Qualifier: Eye Obstruction
GCSQ_INTUBATED,GCS Qualifier: Intubated
GCSQ_VALID,GCS Qualifier: Valid
GCSQ_NA,GCS Qualifier: Not Applicable
GCSQ_UK,GCS Qualifier: Unknown
HOSPITALARRIVALHRS,Hospital Arrival Time: Hours
HOSPITALARRIVALDAYS,Hospital Arrival Time: Days
TBIPUPILLARYRESPONSE,TBI Pupillary Response
age_sq,Age Squared
age_sbp,Age × SBP
sbp_diff,EMS-to-Hospital SBP Difference
hr_diff,EMS-to-Hospital Heart Rate Difference
rr_diff,EMS-to-Hospital Respiratory Rate Difference
pulse_ox_diff,EMS-to-Hospital Pulse Oximetry Difference
gcs_diff,EMS-to-Hospital Total GCS Difference
ems_sbp_hr_diff,EMS SBP-to-Heart Rate Difference
sbp_hr_diff,Hospital SBP-to-Heart Rate Difference
shock_index_ems,EMS Shock Index
shock_index,Hospital Shock Index
combined_shock_index,Combined Shock Index
age_shock_index_ems,Age × EMS Shock Index
age_shock_index,Age × Hospital Shock Index
